
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server
  2026-05-11 09:49:33 /css/animations.css .......................... ~ 0.14ms
  2026-05-11 09:49:33 /css/font-awesome5.css ....................... ~ 0.40ms
  2026-05-11 09:49:33 /css/bootstrap.min.css ....................... ~ 0.60ms
  2026-05-11 09:49:33 /css/shop.css ................................ ~ 0.73ms
  2026-05-11 09:49:33 /css/custom.css .............................. ~ 1.00ms
  2026-05-11 09:49:33 /css/main.css ................................ ~ 1.47ms
  2026-05-11 09:49:33 /js/vendor/modernizr-custom.js ............... ~ 0.71ms
  2026-05-11 09:49:33 /images/events/08.jpg ........................ ~ 0.19ms
  2026-05-11 09:49:33 /images/logo_color.png ....................... ~ 0.22ms
  2026-05-11 09:49:34 /images/pillone.jpeg ......................... ~ 0.05ms
  2026-05-11 09:49:34 /js/compressed.js ............................ ~ 0.28ms
  2026-05-11 09:49:34 /js/main.js .................................. ~ 0.03ms
  2026-05-11 09:49:34 /images/partners/telecel.webp ................ ~ 0.07ms
  2026-05-11 09:49:34 /images/partners/moovAfrica.png .............. ~ 0.21ms
  2026-05-11 09:49:34 /images/slide01.jpg .......................... ~ 0.37ms
  2026-05-11 09:49:34 /images/partners/malitel.png ................. ~ 0.57ms
  2026-05-11 09:49:34 /images/partners/orange.png .................. ~ 0.71ms
  2026-05-11 09:49:34 /images/partners/coris.png ................... ~ 0.94ms
  2026-05-11 09:49:34 /images/partners/ikoula.jpg .................. ~ 0.07ms
  2026-05-11 09:49:34 /images/partners/unify.png ................... ~ 0.23ms
  2026-05-11 09:49:34 /images/partners/itancia.png ................. ~ 0.45ms
  2026-05-11 09:49:34 /images/partners/atel.png .................... ~ 0.60ms
  2026-05-11 09:49:34 /images/partners/tritux.png .................. ~ 0.95ms
  2026-05-11 09:49:34 /images/actualite/Call.jpg ................... ~ 1.17ms
  2026-05-11 09:49:34 /images/actualite/boutique.jpg ............... ~ 0.25ms
  2026-05-11 09:49:34 /images/dev/code.jpg ......................... ~ 0.26ms
  2026-05-11 09:49:34 /images/images/faq.png ....................... ~ 0.50ms
  2026-05-11 09:49:34 /images/images/call.png ...................... ~ 0.75ms
  2026-05-11 09:49:34 /img/preloader-img.png ....................... ~ 0.33ms
  2026-05-11 09:49:34 /images/play_3.png ........................... ~ 0.04ms
  2026-05-11 09:49:34 .............................................. ~ 0.02ms
  2026-05-11 09:49:34 /fonts/fa-brands-400.woff2 ................... ~ 0.07ms
  2026-05-11 09:49:34 /fonts/fa-solid-900.woff2 .................... ~ 0.22ms
  2026-05-11 09:49:34 /fonts/fa-regular-400.woff2 .................. ~ 0.39ms
  2026-05-11 09:49:34 /images/Hosting_Video.webm ................... ~ 0.03ms
  2026-05-11 09:49:34 .............................................. ~ 0.03ms
  2026-05-11 09:49:34 .............................................. ~ 0.39ms
  2026-05-11 09:49:34 /images/Hosting_Video.webm ................... ~ 0.03ms
